Slice,xc,yc,intdens,intsub,bgmedian,maxint,area,x,y,sqintdens,sqintsub,sqarea,threshold,animal,redFlag,useTracking
30,369.609,772.666,6066.000,2122.000,493.000,878.000,8.000,369.625,772.625,22343.000,4595.000,36.000,680,13,0,1
31,369.516,772.998,4635.000,1695.000,490.000,882.000,6.000,369.500,773.000,22455.000,4815.000,36.000,680,13,0,1
32,369.636,773.068,5234.000,1797.000,491.000,858.000,7.000,369.643,773.071,22232.000,4556.000,36.000,680,13,0,1
33,369.522,772.999,6012.000,2076.000,492.000,827.000,8.000,369.500,773.000,22094.000,4382.000,36.000,680,13,0,1
34,369.618,772.645,6017.000,2097.000,490.000,909.000,8.000,369.625,772.625,22350.000,4710.000,36.000,680,13,0,1
35,369.512,772.987,4729.000,1759.000,495.000,886.000,6.000,369.500,773.000,22317.000,4497.000,36.000,680,13,0,1
36,369.518,772.813,5322.000,1871.000,493.000,889.000,7.000,369.500,772.786,22151.000,4403.000,36.000,680,13,0,1
37,369.677,772.851,4576.000,1618.000,493.000,831.000,6.000,369.667,772.833,22264.000,4516.000,36.000,680,13,0,1
38,369.531,772.794,5379.000,1914.000,495.000,881.000,7.000,369.500,772.786,22398.000,4578.000,36.000,680,13,0,1
39,369.510,773.006,4677.000,1737.000,490.000,929.000,6.000,369.500,773.000,22172.000,4532.000,36.000,680,13,0,1
40,369.631,772.669,6198.000,2262.000,492.000,887.000,8.000,369.625,772.625,22254.000,4542.000,36.000,680,13,0,1
41,369.611,772.857,6939.000,2520.000,491.000,955.000,9.000,369.611,772.833,22496.000,4820.000,36.000,680,13,0,1
42,369.514,773.006,4717.000,1765.000,492.000,886.000,6.000,369.500,773.000,22478.000,4766.000,36.000,680,13,0,1
43,369.524,773.000,4710.000,1746.000,494.000,907.000,6.000,369.500,773.000,22253.000,4469.000,36.000,680,13,0,1
44,369.528,773.004,4728.000,1770.000,493.000,884.000,6.000,369.500,773.000,22378.000,4630.000,36.000,680,13,0,1
45,369.513,773.197,5359.000,1894.000,495.000,858.000,7.000,369.500,773.214,22246.000,4426.000,36.000,680,13,0,1
46,369.521,773.207,5396.000,1938.000,494.000,886.000,7.000,369.500,773.214,22332.000,4548.000,36.000,680,13,0,1
47,369.538,773.001,4769.000,1817.000,492.000,864.000,6.000,369.500,773.000,22295.000,4583.000,36.000,680,13,0,1
48,369.517,773.191,5386.000,1935.000,493.000,887.000,7.000,369.500,773.214,22450.000,4702.000,36.000,680,13,0,1
49,369.667,772.850,4487.000,1529.000,493.000,829.000,6.000,369.667,772.833,22022.000,4274.000,36.000,680,13,0,1
50,369.527,773.185,5467.000,2016.000,493.000,850.000,7.000,369.500,773.214,22518.000,4770.000,36.000,680,13,0,1
51,369.542,772.990,6155.000,2219.000,492.000,884.000,8.000,369.500,773.000,22321.000,4609.000,36.000,680,13,0,1
52,369.530,772.994,4644.000,1686.000,493.000,877.000,6.000,369.500,773.000,22236.000,4488.000,36.000,680,13,0,1
53,369.504,773.004,6172.000,2244.000,491.000,900.000,8.000,369.500,773.000,22443.000,4767.000,36.000,680,13,0,1
54,369.615,772.664,6188.000,2268.000,490.000,906.000,8.000,369.625,772.625,22376.000,4736.000,36.000,680,13,0,1
55,369.581,772.652,6496.000,2568.000,491.000,922.000,8.000,369.625,772.625,22967.000,5291.000,36.000,680,13,0,1
56,369.355,772.632,6314.000,2370.000,493.000,910.000,8.000,369.375,772.625,22845.000,5097.000,36.000,680,13,0,1
57,369.194,772.621,7101.000,2682.000,491.000,935.000,9.000,369.167,772.611,22710.000,5034.000,36.000,680,13,0,1
58,369.636,773.004,6019.000,2083.000,492.000,880.000,8.000,369.625,773.000,22228.000,4516.000,36.000,680,13,0,1
59,369.523,772.998,4737.000,1785.000,492.000,892.000,6.000,369.500,773.000,22630.000,4918.000,36.000,680,13,0,1
60,369.668,772.821,5361.000,1910.000,493.000,852.000,7.000,369.643,772.786,22469.000,4721.000,36.000,680,13,0,1
61,370.316,773.085,5400.000,1949.000,493.000,896.000,7.000,370.357,773.071,22458.000,4710.000,36.000,680,13,0,1
62,370.163,773.387,6819.000,2400.000,491.000,873.000,9.000,370.167,773.389,22385.000,4709.000,36.000,680,13,0,1
63,370.505,773.485,6882.000,2472.000,490.000,917.000,9.000,370.500,773.500,22633.000,4993.000,36.000,680,13,0,1
64,370.362,773.361,6099.000,2147.000,494.000,835.000,8.000,370.375,773.375,22423.000,4639.000,36.000,680,13,0,1
65,370.608,773.360,6047.000,2103.000,493.000,913.000,8.000,370.625,773.375,22469.000,4721.000,36.000,680,13,0,1
66,370.494,773.495,6875.000,2438.000,493.000,918.000,9.000,370.500,773.500,22611.000,4863.000,36.000,680,13,0,1
